,algorithm,bias,seed,recall,fpr_ratio,fnr_ratio,precision_ratio,tpr_ratio,config
0,XGB,quadruple_50,0,0.7405966277561609,1.588334663834598,-0.8706969573519256,0.7086363507575817,0.3908954743079617,0
1,XGB,quadruple_50,0,0.7775616083009079,1.6844224138689647,-0.9060200862953826,0.5683799788979776,0.3296691576545233,1
2,XGB,quadruple_50,0,0.5706874189364461,1.2429155121523858,-0.576136879530344,1.1845072082751031,0.5463883705757768,2
3,XGB,quadruple_50,0,0.7704280155642024,2.213851684418992,-1.0809568235371751,0.2069379295983457,0.4305239489940079,3
4,XGB,quadruple_50,0,0.7626459143968871,1.8052244516434088,-1.061095429533986,0.5626439307317899,0.4411069202617291,4
5,XGB,quadruple_50,0,0.7568093385214008,2.060187044517962,-1.1947965143714514,0.4250530132388712,0.5339489360803225,5
6,XGB,quadruple_50,0,0.7937743190661478,1.680049377646016,-0.9465081586956188,0.5565620749196296,0.3137276137855018,6
7,XGB,quadruple_50,0,0.6776913099870299,0.9950902609520788,-0.5556882764043543,1.170718688605313,0.3153849316482756,7
8,XGB,quadruple_50,0,0.7120622568093385,1.58974540931774,-0.8135530502483169,0.7374175483376415,0.4204031474562777,8
9,XGB,quadruple_50,0,0.7704280155642024,1.965744747543236,-0.9898219517870066,0.3771472994561549,0.3848399159044519,9
10,XGB,quadruple_50,0,0.7224383916990921,1.5393798210441618,-0.6483045360154777,0.67553806792616,0.3013305876360334,10
11,XGB,quadruple_50,0,0.7555123216601816,1.86229039526162,-1.0139368506510051,0.5089023166561207,0.4344681371541738,11
12,XGB,quadruple_50,0,0.7892347600518806,1.7718736520014993,-1.0611493610508198,0.5295556734150966,0.3728568256607327,12
13,XGB,quadruple_50,0,0.6238651102464332,0.1876526463749818,-0.2024441132697339,1.7239389138699668,0.1307759320469497,13
14,XGB,quadruple_50,0,0.791828793774319,1.9302489069053463,-1.108196271078582,0.4074123499935717,0.387284220755583,14
15,XGB,quadruple_50,0,0.7937743190661478,1.806750453411156,-1.1091293899526418,0.5078572667894093,0.3827142239768094,15
16,XGB,quadruple_50,0,0.7464332036316472,1.588334663834598,-0.7805331177247385,0.6552114850568331,0.3303365313409419,16
17,XGB,quadruple_50,0,0.7704280155642024,1.8607313947559103,-1.0628775737221752,0.4973740123683209,0.4213075009853161,17
18,XGB,quadruple_50,0,0.7457846952010376,2.066956276335361,-1.03022678743186,0.3655433161185105,0.4698468157027837,18
19,XGB,quadruple_50,0,0.7587548638132295,1.8159251547650523,-1.0256175341792697,0.5464149970568846,0.4323721102841208,19
20,XGB,quadruple_50,0,0.7924773022049286,1.885790231907937,-1.0753146769603976,0.4312371664969911,0.3711558938345715,20
21,XGB,quadruple_50,0,0.7613488975356679,1.9527781808197704,-0.9964233133255072,0.4104949866677655,0.410244769140938,21
22,XGB,quadruple_50,0,0.7204928664072633,0.6678885523740679,-0.3737178445369052,1.307740021477791,0.1617245203404517,22
23,XGB,quadruple_50,0,0.7931258106355382,1.820524594802067,-1.021747012939809,0.4654690686079762,0.3465337588687434,23
24,XGB,quadruple_50,0,0.7821011673151751,1.9902431809345429,-1.122659205686776,0.3849897323754193,0.4196610585345666,24
25,XGB,quadruple_50,0,0.732166018158236,1.5477148912042482,-0.853382372049757,0.7527758393073265,0.3997674448521933,25
26,XGB,quadruple_50,0,0.7756160830090791,1.8297478773706497,-1.0393614125883213,0.5018802339600521,0.3963585003727185,26
27,XGB,quadruple_50,0,0.7535667963683528,1.7315043952578013,-0.9102554306899012,0.5771633229046569,0.3833780453529941,27
28,XGB,quadruple_50,0,0.7645914396887159,2.137488715531684,-1.131683534536861,0.3077609201290839,0.4737680262959698,28
