,algorithm,bias,seed,recall,fpr_ratio,fnr_ratio,precision_ratio,tpr_ratio,config
0,XGB,noise_inverse50_50,0,0.6977950713359273,-0.1762478409709915,0.0833742974974223,0.9608651190263716,-0.0356123840757979,0
1,XGB,noise_inverse50_50,0,0.7470817120622568,-0.1644775934238001,0.0586465423363366,0.9538982025207572,-0.0196748583354612,1
2,XGB,noise_inverse50_50,0,0.5077821011673151,0.0265074714780136,-0.1429994639747853,0.9866539747522628,0.1432366633702537,2
3,XGB,noise_inverse50_50,0,0.7561608300907912,-0.0875637381306161,0.0141715091048847,0.9015063810921432,-0.0045600573295522,3
4,XGB,noise_inverse50_50,0,0.7328145265888456,-0.0736949251552434,-0.0177716919874549,0.904150246376644,0.0064975812194638,4
5,XGB,noise_inverse50_50,0,0.732166018158236,-0.0470348525408197,-0.0124967499467809,0.8805849300959296,0.004580378225173,5
6,XGB,noise_inverse50_50,0,0.7341115434500648,-0.1601989876198138,0.1479635922149935,0.9255835646110192,-0.0523417912628962,6
7,XGB,noise_inverse50_50,0,0.6387808041504539,0.0083904263785326,-0.0647976071375762,0.8806505437833891,0.037068698439267,7
8,XGB,noise_inverse50_50,0,0.6757457846952011,-0.0118585495849214,-0.0474965013344561,0.8781677812713419,0.0229745340190918,8
9,XGB,noise_inverse50_50,0,0.7211413748378729,-0.1185195862316418,0.0134478297134985,0.933786588607592,-0.0051890262928866,9
10,XGB,noise_inverse50_50,0,0.6783398184176395,-0.1441608423826606,0.1324009570916534,0.916367407510476,-0.0613760903406623,10
11,XGB,noise_inverse50_50,0,0.7230869001297017,-0.0811622080446585,-0.0168545187942298,0.912312200274007,0.0064718292467651,11
12,XGB,noise_inverse50_50,0,0.7477302204928664,-0.1174516795367674,0.1040644788798863,0.9025618480565532,-0.0345449607954628,12
13,XGB,noise_inverse50_50,0,0.5363164721141375,-0.0214509086918366,-0.0695902721850733,0.9490695484798152,0.0610711890887635,13
14,XGB,noise_inverse50_50,0,0.75810635538262,-0.1676870589180027,0.0668289260415218,0.9529509885223688,-0.0211068471038549,14
15,XGB,noise_inverse50_50,0,0.7652399481193255,-0.1388170004648676,0.1482352094690928,0.9081938488596876,-0.0444530003040573,15
16,XGB,noise_inverse50_50,0,0.6750972762645915,-0.1998076303540181,0.1266962578119092,0.965000374180316,-0.0596617691579658,16
17,XGB,noise_inverse50_50,0,0.7457846952010376,-0.0704950230030281,0.0528063591746537,0.8783256891159459,-0.0178534148776054,17
18,XGB,noise_inverse50_50,0,0.7405966277561609,-0.0395720697538361,-0.0185548077840696,0.8743763855449261,0.0065176958264236,18
19,XGB,noise_inverse50_50,0,0.7204928664072633,-0.0672953266161839,0.0487699774323413,0.8799342034676105,-0.0187725895100302,19
20,XGB,noise_inverse50_50,0,0.7658884565499352,-0.0523658991080708,0.179780658128181,0.8295971127609085,-0.0534530157686593,20
21,XGB,noise_inverse50_50,0,0.732166018158236,-0.2244687198797796,0.1795988898224237,0.969204584410441,-0.0638326446536798,21
22,XGB,noise_inverse50_50,0,0.695201037613489,-0.0193192146369409,-0.1854386008715929,0.9324628546752758,0.083771242070263,22
23,XGB,noise_inverse50_50,0,0.7587548638132295,-0.1163838086058151,0.0788015677075976,0.9076710635966566,-0.0247546241189992,23
24,XGB,noise_inverse50_50,0,0.7490272373540856,-0.0939662597888231,-0.0083310240183762,0.9144321593977932,0.0027949905099462,24
25,XGB,noise_inverse50_50,0,0.6523994811932555,-0.0193192146369409,-0.0437632251966622,0.8896317442824329,0.0234965673552548,25
