,algorithm,bias,seed,recall,fpr_ratio,fnr_ratio,precision_ratio,tpr_ratio,config
0,XGB,double_50,0,0.7334630350194552,0.9007113637217692,-0.3271907919682393,0.1901745946715903,0.1248217319315107,0
1,XGB,double_50,0,0.7665369649805448,0.5903820093164409,-0.4066252594626441,0.4516507688258749,0.1310315264801557,1
2,XGB,double_50,0,0.5369649805447471,0.6192718852670942,-0.3338404567323899,0.6083719129161791,0.3096692556659122,2
3,XGB,double_50,0,0.7645914396887159,0.9182897529826988,-0.5184160849202004,0.2127890929957979,0.1712738487359437,3
4,XGB,double_50,0,0.7477302204928664,0.6070349478880698,-0.4128038343917682,0.4536803344339711,0.1477361991905038,4
5,XGB,double_50,0,0.7529182879377432,0.7474525375454327,-0.4160855887117099,0.3335441640471354,0.1448314380427951,5
6,XGB,double_50,0,0.7749675745784695,0.9229882840086048,-0.5132853674469396,0.198765781526738,0.1596373903786152,6
7,XGB,double_50,0,0.6640726329442282,0.0414281166036793,-0.0948288660851467,0.8577180236179835,0.0487551271753566,7
8,XGB,double_50,0,0.688715953307393,0.2197517387576734,-0.1510659741909965,0.7209900878442315,0.0699875189371536,8
9,XGB,double_50,0,0.7490272373540856,0.8808660452336857,-0.5176565718513881,0.2573794780492983,0.1864651221419128,9
10,XGB,double_50,0,0.711413748378729,0.8587798193254762,-0.3795570162644726,0.2585565221622756,0.1631707936642301,10
11,XGB,double_50,0,0.7457846952010376,0.5131492435978886,-0.394346929684207,0.5278021782494168,0.1422679865509905,11
12,XGB,double_50,0,0.771076523994812,0.6673183990848788,-0.3861611569029282,0.37881847830352,0.1209349302135905,12
13,XGB,double_50,0,0.6141374837872893,0.0787380850684353,-0.1594075590916246,0.8830240770528694,0.1031628508017374,13
14,XGB,double_50,0,0.7853437094682231,0.9821249392404482,-0.4536935131194231,0.126585094696058,0.1317325785571653,14
15,XGB,double_50,0,0.7808041504539559,0.8925299971121586,-0.4385681519653983,0.1996554379046957,0.1306085107782864,15
16,XGB,double_50,0,0.7198443579766537,0.8634214717311324,-0.3815342784998131,0.2492139112469514,0.1572756257306827,16
17,XGB,double_50,0,0.7613488975356679,0.579301160741186,-0.2713250448103635,0.4257372054605709,0.0884274405380074,17
18,XGB,double_50,0,0.7412451361867705,0.6864109259614408,-0.457672865053036,0.407121787611279,0.170596709609485,18
19,XGB,double_50,0,0.7431906614785992,0.8715546836075692,-0.5510151687978184,0.281594218733693,0.2057136801898175,19
20,XGB,double_50,0,0.7866407263294423,0.6875358056006777,-0.4503466368919622,0.3680347048555594,0.1296880785507959,20
21,XGB,double_50,0,0.751621271076524,1.0000179926139947,-0.4034855519320766,0.1206019136330384,0.1412111223640982,21
22,XGB,double_50,0,0.708171206225681,0.2122548966533683,-0.1754089877391893,0.7278048769168226,0.0743184206911709,22
23,XGB,double_50,0,0.7808041504539559,0.887861089603898,-0.4915141570491572,0.217321228625033,0.1473103456378879,23
24,XGB,double_50,0,0.7600518806744487,0.7474525375454327,-0.3413337992109244,0.306541210734518,0.1131096184828932,24
25,XGB,double_50,0,0.6893644617380026,0.8495092392030487,-0.335989716869583,0.2648167588180656,0.159759413704196,25
26,XGB,double_50,0,0.7671854734111544,0.6192718852670942,-0.2610484351770273,0.3867789079850915,0.0822234787777982,26
27,XGB,double_50,0,0.7276264591439688,0.7270363067554736,-0.4209236425152127,0.3718100577672716,0.1676728873995392,27
28,XGB,double_50,0,0.7496757457846952,0.8229489097907499,-0.4470047209784829,0.282682423200238,0.1590081199836203,28
29,XGB,double_50,0,0.7808041504539559,0.7236404539699882,-0.4208391186823444,0.3347464641282926,0.1250571586684705,29
30,XGB,double_50,0,0.6095979247730221,0.0105218354531256,-0.1435908536288501,0.9347203048310871,0.0944646840034925,30
31,XGB,double_50,0,0.7555123216601816,0.8518253029430822,-0.4098135370936913,0.2428722230092167,0.1405157758235451,31
32,XGB,double_50,0,0.732166018158236,0.7668008160219377,-0.345224714798501,0.308925283970979,0.132926781568566,32
33,XGB,double_50,0,0.7749675745784695,0.7417742208218441,-0.4273838196294416,0.3255417881411254,0.1315430297795716,33
34,XGB,double_50,0,0.7879377431906615,0.9253393009515584,-0.5016217733983905,0.1834976716378828,0.1441890188466668,34
35,XGB,double_50,0,0.7684824902723736,0.8310181492532323,-0.4099921105610429,0.2512682937130262,0.1307163367461384,35
36,XGB,double_50,0,0.7062256809338522,0.6987957426854152,-0.2563204534896192,0.3495128555634817,0.1110024127180717,36
37,XGB,double_50,0,0.7166018158236057,0.8068472520928288,-0.5186029116956766,0.3510186845725289,0.2214909100130183,37
38,XGB,double_50,0,0.7594033722438391,0.6527562224100597,-0.3513178877835467,0.3886473142732775,0.1169930529701214,38
39,XGB,double_50,0,0.7756160830090791,0.8183434593335395,-0.3996724988208771,0.2542307289501695,0.1221268485368764,39
40,XGB,double_50,0,0.6582360570687419,1.0263943795370998,-0.5557686987684527,0.2497423327865049,0.3164395178873007,40
41,XGB,double_50,0,0.7762645914396887,0.8541424184039219,-0.3541578395685085,0.2122107760742705,0.1071903942943735,41
42,XGB,double_50,0,0.7399481193255513,0.7862155958560434,-0.3554711715125403,0.2910463151719088,0.1315970033005009,42
